openalex_id,title,year,cited_by_count,type,field,subfield,authors,doi
W31848279,Partielle Differentialgleichungen und Variationsrechnung,1990,5,book-chapter,Engineering,Computational Mechanics,"Josef Bemelmans, Stefan Hildebrandt, Wolf von Wahl",10.1007/978-3-322-80265-1_4
W2168840843,MCMC curve sampling and geometric conditional simulation,2008,5,conference-paper,Computer Science,Computer Vision and Pattern Recognition,"Ayres Fan, John W. Fisher, Jonathan Kane",10.1117/12.778608
W4232468654,Growth Property for the Minimal Surface Equation in Unbounded Domains,1994,5,article,Computer Science,Computational Theory and Mathematics,Jenn-Fang Hwang,10.2307/2161211
W4386139171,Mathematical Physics with Differential Equations,2023,4,book,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.001.0001
W4226308974,Branching tubular surfaces based on spherical Voronoi diagrams,2022,4,article,Computer Science,Computer Graphics and Computer-Aided Design,"Deqiang Chen, Lifeng Zhu",10.1016/j.cag.2022.04.006
W4280524644,An Application of Variational Minimization: Quasi-Harmonic Coons Patches,2022,4,article,Engineering,Mechanics of Materials,"Daud Ahmad, Kiran Naz, Sadia Bashir",10.1155/2022/8067097
W4296783391,A Computational Model for <i>q</i>‐Bernstein Quasi‐Minimal Bézier Surface,2022,4,article,Engineering,Computational Mechanics,"Daud Ahmad, Muhammad Khalid Mahmood, Qin Xin",10.1155/2022/8994112
W1584013604,A Lipschitz decomposition of minimal surfaces,1992,4,article,Computer Science,Computer Graphics and Computer-Aided Design,"John B. Garnett, Peter W. Jones, Donald E. Marshall",10.4310/jdg/1214448261
W2159454284,Shape factor analysis of progressive rat hepatoma images,2008,4,article,Computer Science,Computer Vision and Pattern Recognition,"William Spillman, John L. Robertson, Kenith E. Meissner",10.1117/1.2841020
W2005500925,One-parameter family of solitons from minimal surfaces,2013,4,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Rukmini Dey, Pradip Kumar",10.1007/s12044-013-0115-x
W2007169396,"Multi-instantons in Bbb R<sup>4</sup> and Minimal Surfaces in Bbb R<sup>2,1</sup>",2000,4,article,Physics and Astronomy,Nuclear and High Energy Physics,Bayram Tekin,10.1088/1126-6708/2000/08/049
W2020738330,"Generation of ribbons, helicoids, and complex Scherk surfaces in laser-matter interactions",2010,4,article,Engineering,Mechanical Engineering,"Stjepan Lugomer, Yasuhide Fukumoto",10.1103/physreve.81.036311
W2024744658,On CP 1 and CP 2 Maps and Weierstrass Representations for Surfaces Immersed into Multi-Dimensional Euclidean Spaces,2003,4,article,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, W. J. Zakrzewski",10.2991/jnmp.2003.10.1.9
W2032676329,Hedgehogs and area of order 2,1996,4,article,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Yves Martinez‐Maure,10.1007/bf01268931
W2584399463,On Algebraic Minimal Surfaces,2017,4,article,Engineering,Computational Mechanics,Boris Odehnal,
W1970289386,"SPIN MODEL EQUATIONS, CONNECTIONS WITH INTEGRABLE SYSTEMS AND APPLICATIONS TO MAGNETIC VORTICES",2003,4,article,Physics and Astronomy,Statistical and Nonlinear Physics,Paul Bracken,10.1142/s0217979203023045
W2066834526,Thoughts on the Busemann equation,2011,3,article,Computer Science,Computational Theory and Mathematics,Giorgio Talenti,10.1007/s00032-011-0153-8
W4288050570,Minimal surfaces and conservation laws for bidimensional structures,2022,3,article,Engineering,Biomedical Engineering,Victor A. Eremeyev,10.1177/10812865221108374
W3110489388,On the application of Physically-Guided Neural Networks with Internal Variables to Continuum Problems,2025,3,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Rubén Muñoz-Sierra, Jacobo Ayensa-Jiménez, M. Doblaré",10.1016/j.mechmat.2025.105317
W4280521945,Classification of polynomial minimal surfaces,2022,3,article,Engineering,Computational Mechanics,"Lincong Fang, Yingli Peng, Yujun Li",10.1016/j.cagd.2022.102106
W4290694855,On the construction of polynomial minimal surfaces with Pythagorean normals,2022,3,article,Engineering,Computational Mechanics,"Rida T. Farouki, Marjeta Knez, Vito Vitrih",10.1016/j.amc.2022.127439
W1982069934,A bound for minimal graphs with a normal at infinity,1993,3,article,Computer Science,Computational Theory and Mathematics,Ernst Kuwert,10.1007/bf01206959
W2013114109,Constrained metric variations and emergent equilibrium surfaces,2013,3,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Jemal Guven, Pablo Vázquez-Montejo",10.1016/j.physleta.2013.04.031
W2040001493,Perturbative stability of catenoidal soap films,2013,3,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Soumya Jana, Sayan Kar",10.1140/epjp/i2013-13108-y
W2083036084,Onp-harmonic functions in the complex plane and curvature,1988,3,article,Computer Science,Computational Theory and Mathematics,Peter Lindqvist,10.1007/bf02778033
W2094658998,Shapes of completely wetted two-dimensional powder compacts for applications to sintering,1992,3,article,Earth and Planetary Sciences,Atmospheric Science,"J. Christian Schön, Richard Frost, Maggie Chu",10.1063/1.350973
W2114737850,Catenoid-like solutions for the minimal surface equation,1998,3,article,Computer Science,Computational Theory and Mathematics,Jenn-Fang Hwang,10.2140/pjm.1998.183.91
W2131425046,A new protein folding algorithm based on hydrophobic compactness: Rigid Unconnected Secondary Structure Iterative Assembly (RUSSIA). II: Applications,2003,3,article,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"Denis Znamenskiy, K. Le Tuan, J.-P. Mornon",10.1093/protein/gzg141
W2189224084,Notes on Minimal Surfaces,2015,3,article,Computer Science,Computational Theory and Mathematics,Michael Beeson,
W2018589367,GLIMPSES OF NONLINEAR PARTIAL DIFFERENTIAL EQUATIONS IN THE TWENTIETH CENTURY: A PRIORI ESTIMATES AND THE BERNSTEIN PROBLEM,2001,3,conference-paper,Computer Science,Computational Theory and Mathematics,Neil S. Trudinger,10.1142/9789812811264_0009
W2292232459,Solution surfaces and surfaces from a variotional principle,2007,3,dissertation,Physics and Astronomy,Statistical and Nonlinear Physics,Süleyman Tek,
W2985950003,Nearly Minimal: How intuition and analysis inform the minimal surface geometries in the Pure Tension Pavilion,2014,3,conference-paper,Engineering,Architecture,"Alvin Huang, S. R. Lewis",10.52842/conf.acadia.2014.209
W4414487006,Spontaneous quantization of the Yang–Mills gradient flow,2025,2,article,Physics and Astronomy,Nuclear and High Energy Physics,Alexander Migdal,10.1016/j.nuclphysb.2025.117129
W4293104478,Algebraic equations and graphics of Bour’s minimal surfaces family,2022,2,article,Computer Science,Computational Theory and Mathematics,Erhan Güler,10.1080/09720502.2021.1923939
W4414121971,Symmetry breaking induces polarized bandgaps and anomalous elastic wave behavior in gyroid lattices,2025,2,article,Engineering,Mechanics of Materials,"Maria Carrillo-Munoz, Anwaruddin Siddiqui Mohammed, Bhisham Sharma",10.1016/j.wavemoti.2025.103626
W2610165029,"The <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si6.gif"" display=""inline"" overflow=""scroll""><mml:msup><mml:mrow><mml:mi>C</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn></mml:mrow></mml:msup></mml:math> and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si13.gif"" display=""inline"" overflow=""scroll""><mml:msup><mml:mrow><mml:mi>C</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msup></mml:math> quasi-Plateau problems",2017,2,article,Engineering,Computational Mechanics,"Yong-Xia Hao, Chong–Jun Li",10.1016/j.cam.2017.04.039
W3034570732,The Plateau-Bézier Problem with Weak-Area Functional,2020,2,article,Engineering,Computational Mechanics,Yong-Xia Hao,10.4208/jcm.1906-m2019-0051
W3097220771,Quasi-area functional for the Plateau–Bézier problem,2020,2,article,Engineering,Computational Mechanics,Yong-Xia Hao,10.1016/j.gmod.2020.101095
W4399717357,Some Classes of Frontals and Its Representation Formulas,2024,2,article,Physics and Astronomy,Astronomy and Astrophysics,Tito Alexandro Medina Tejeda,10.1007/s00025-024-02221-4
W2422134341,Approximation of minimal toric Bézier patch,2016,2,article,Engineering,Computational Mechanics,"Lanyin Sun, Chun-Gang Zhu",10.1177/1687814016654667
W3114655196,On the existence of foliations by solutions to the exterior Dirichlet problem for the minimal surface equation,2021,2,article,Computer Science,Computational Theory and Mathematics,"Arì Aiolfi, Daniel Bustos, Jaime Ripoll",10.1090/proc/15845
W4200586908,Design of schwarzite templates based on energy minimization of surfaces,2021,2,article,Materials Science,Materials Chemistry,"Panyada Sriphathurat, Duangkamon Baowan",10.1016/j.cartre.2021.100139
W2004666194,Analysis of a one-dimensional prescribed mean curvature equation with singular nonlinearity,2012,2,article,Computer Science,Computational Theory and Mathematics,"Nicholas D. Brubaker, John A. Pelesko",10.1016/j.na.2012.04.025
W2091505270,Spinor representation of surfaces and complex stresses on membranes and interfaces,2010,2,article,Physics and Astronomy,"Atomic and Molecular Physics, and Optics","Jemal Guven, Pablo Vázquez-Montejo",10.1103/physreve.82.041604
W2097063601,"Falaco Solitons, Cosmological strings in swimming pool.",2005,2,article,Arts and Humanities,Philosophy,R. M. Kiehn,
W28451638,Optimal Map Projections by Variational Calculus: Harmonic Maps,2014,2,book-chapter,Earth and Planetary Sciences,Oceanography,"Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_22
W1526955875,Solutions to quasilinear equations by an iterative method,2000,2,article,Computer Science,Computational Theory and Mathematics,"Pablo Amster, M. M. Cassinelli, M. C. Mariani",10.36045/bbms/1103055657
W2086205588,Control mesh representation of a class of minimal surfaces,2006,2,article,Computer Science,Computer Graphics and Computer-Aided Design,"Gang Xu, Guozhao Wang",10.1631/jzus.2006.a1544
W2113153865,Parametric polynomial minimal surfaces of arbitrary degree,2010,2,preprint,Engineering,Computational Mechanics,"Gang Xu, Guozhao Wang",10.48550/arxiv.1008.0208
W2225672991,Minimal surfaces in the soliton surface approach,2015,2,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"Adam Doliwa, A. M. Grundland",10.48550/arxiv.1511.02173
W3173493181,High Frequency Integrable Regimes in Nonlocal Nonlinear Optics,2012,2,report,Physics and Astronomy,Statistical and Nonlinear Physics,Antonio Moro,10.7546/jgsp-7-2006-37-83
W101894047,"II International Meeting on Lorentzian Geometry : Murcia, Spain, november 12-14, 2003",2004,1,article,Physics and Astronomy,Nuclear and High Energy Physics,Luis José Alías Linares,
W137722591,“Ellipsoid-of-Revolution to Cylinder”: Transverse Aspect,2014,1,book-chapter,Earth and Planetary Sciences,Oceanography,"Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_15
W1529287174,Equivariant Deformations of Horospherical Surfaces,2010,1,article,Earth and Planetary Sciences,Oceanography,Michael Deutsch,10.7936/k7dr2skf
W1889260655,Harmonic shears and numerical conformal mappings,2017,1,article,Engineering,Computational Mechanics,Tri Quach,10.2298/fil1708231q
W2042484525,Some strange properties of minimal surfaces in connection with Plateau's problem,1997,1,article,Engineering,Computational Mechanics,"Viorel Visarion, Margarit Baubec",10.1016/s0045-7825(96)01118-8
W2399548816,Surfaces From Deformation of Parameters,2016,1,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Marin Drinov Academic Publishing House, Süleyman Tek, Metin Gürses",10.7546/giq-17-2016-318-343
W2405922225,Integrable Curves and Surfaces,2016,1,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Marin Drinov Academic Publishing House, Metin Gürses, Süleyman Tek",10.7546/giq-17-2016-13-71
W2731550319,Finite element approximations of minimal surfaces: algorithms and mesh refinement,2018,1,article,Engineering,Computational Mechanics,"Aymeric Grodet, Takuya Tsuchiya",10.1007/s13160-018-0303-2
W2751764795,Simulation of a Soap Film Möbius Strip Transformation,2017,1,article,Materials Science,Materials Chemistry,"Yongsam Kim, Ming‐Chih Lai, Yunchang Seol",10.4208/eajam.070217.120617a
W2969946440,"On Euler–Ramanujan formula, Dirichlet series and minimal surfaces",2020,1,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Rukmini Dey, Rishabh Sarma, Rahul Kumar Singh",10.1007/s12044-020-00590-8
W2976057645,A estruturação do saber relacionado a geometria complexa e a modelagem paramétrica de estruturas regenerativas na arquitetura,2019,1,article,Environmental Science,"Management, Monitoring, Policy and Law","Janice de Freitas Pires, Alice Theresinha Cybis Pereira",10.11606/gtp.v14i1.148024
W4386139135,Hamiltonian systems and applications,2023,1,book-chapter,Physics and Astronomy,Statistical and Nonlinear Physics,Yisong Yang,10.1093/oso/9780192872616.003.0001
W80732947,“Sphere to Cylinder”: Transverse Aspect,2014,1,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_11
W1522559706,Numerical Calculation of a Minimal Surface Using Bilinear Interpolations and Chebyshev Polynomials,2006,1,preprint,Engineering,Computational Mechanics,"Sadataka Furui, Bilal Masud",10.48550/arxiv.math-ph/0608043
W2096026969,On the symmetry structure of the minimal surface equation,2004,1,preprint,Computer Science,Computational Theory and Mathematics,"AV Kiselev, Gianni Manno",10.48550/arxiv.math/0410557
W2153388310,"Falaco Solitons, Cosmological strings in swimming pool. Update of arXiv/gr-qc/0101098",2006,1,article,Arts and Humanities,Philosophy,R. M. Kiehn,
W2158350037,"Villarceau foliated solitons in the two-dimensional <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" display=""inline"" overflow=""scroll""><mml:mstyle mathvariant=""normal""><mml:mi>O</mml:mi></mml:mstyle><mml:mrow><mml:mo>(</mml:mo><mml:mn>3</mml:mn><mml:mo>)</mml:mo></mml:mrow></mml:math> nonlinear sigma model",2006,1,article,Physics and Astronomy,Nuclear and High Energy Physics,"Manuel Barros, Magdalena Caballero, Miguel Ortega",10.1016/j.geomphys.2006.02.010
W2278522259,Deformations of Periodic Minimal Surfaces,1999,1,book-chapter,Materials Science,"Electronic, Optical and Magnetic Materials",C. Oguey,10.1007/978-94-015-9157-7_27
W2950024648,One paramter family of solitons from minimal surfaces,2012,1,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"Rukmini Dey, Pradip Kumar",10.48550/arxiv.1204.5875
W2951752807,Infinite Periodic Discrete Minimal Surfaces Without Self-Intersections,2004,1,preprint,Engineering,Computational Mechanics,Wayne Rossman,
W3043466556,Minimal surfaces in three-dimensional Matsumoto space,2020,1,preprint,Physics and Astronomy,Astronomy and Astrophysics,"Ranadip Gangopadhyay, Bankteshwar Tiwari",10.48550/arxiv.2007.09439
W36637537,C 10(3): The Ten Parameter Conformal Group as a Datum Transformation in Three-Dimensional Euclidean Space,2014,1,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_24
W4386143610,Ginzburg–Landau equations for superconductivity,2023,1,book-chapter,Physics and Astronomy,Statistical and Nonlinear Physics,Yisong Yang,10.1093/oso/9780192872616.003.0007
W120410205,The Laplace Equation and Wave Equation,2010,0,book-chapter,Engineering,Mechanics of Materials,Michael E. Taylor,10.1007/978-1-4419-7055-8_2
W1527536902,Catenoidal layers for the Allen-Cahn equation in bounded domains,2015,0,preprint,Computer Science,Computational Theory and Mathematics,"Oscar Agudelo, Manuel del Pino, Juncheng Wei",10.48550/arxiv.1504.05301
W1543727131,Surfaces associated with theta function solutions of the periodic 2D-Toda lattice,2006,0,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, M. Y. Mo",10.48550/arxiv.math/0605081
W1607196095,Towards a classification of CMC-1 Trinoids in hyperbolic space via conjugate surfaces,2003,0,preprint,Medicine,"Radiology, Nuclear Medicine and Imaging",Andreas Balser,10.48550/arxiv.math/0310397
W1640530884,An Experimental Investigation on the Static Equilibria and Dynamics of Liquid Bridges,2013,0,other,Engineering,Mechanical Engineering,Andrew Resnick,
W1675332373,Surfaces associated with sigma models and the sine-Gordon equation,2006,0,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, Libor Šnobl",10.48550/arxiv.math/0601302
W175053823,Konstruktion vollständiger Minimalflächen von endlicher Gesamtkrümmung — eine Anwendung der klassischen Theorie der Funktionen und Differentiale auf kompakten Riemannschen Flächen,1979,0,book-chapter,Computer Science,Computational Theory and Mathematics,Fritz Gackstatter,10.1007/bfb0079501
W195676135,An asymptotic theorem for minimal surfaces and existence results for minimal graphs in $H^2 \times R$,2007,0,preprint,Computer Science,Computational Theory and Mathematics,"Ricardo Sá Earp, Éric Toubiana",10.48550/arxiv.0712.2972
W1970302253,A MINIMAL SURFACE OF R&lt;sup&gt;3&lt;/sup&gt; WITH PLANAR ENDS,2001,0,article,Computer Science,Computational Theory and Mathematics,Sun Jin,10.2206/kyushujm.55.351
W1979207547,"For the minimal surface equation, the set of solvable boundary values need not be convex",1996,0,article,Computer Science,Computational Theory and Mathematics,Frank Morgan,10.1017/s0004972700017123
W2046163027,Collapsing regions and black hole formation,1996,0,article,Physics and Astronomy,Nuclear and High Energy Physics,Gregory A. Burnett,10.1063/1.531442
W2091871649,Adaptive modeling and distribution of large natural scenes,2009,0,article,Computer Science,Computer Graphics and Computer-Aided Design,"Sébastien Mondet, Mathias Paulin, Géraldine Morin",10.1145/1738921.1738927
W2116836809,Dynamics of symplectic subvolumes,2007,0,conference-paper,Physics and Astronomy,Statistical and Nonlinear Physics,"Jared M. Maruskin, Daniel J. Scheeres, Anthony M. Bloch",10.1109/cdc.2007.4434475
W2125436259,Spherical Symmetric Solutions for the Motion of Relativistic Membranes in the Schwarzschild-Anti de Sitter Space-Time,2013,0,article,Physics and Astronomy,Astronomy and Astrophysics,Xiaoyan Li,10.1155/2013/215018
W2135956548,EMBEDDED MINIMAL SURFACES OF FINITE TOPOLOGY AND ONE END,2009,0,article,Arts and Humanities,Philosophy,"Christine Breiner, Joel Spruck, Chikako Mese",
W2149324877,The generalized Weierstrass system and an application to the study of deformations of surfaces by means of integrable hierarchies,2009,0,article,Physics and Astronomy,Statistical and Nonlinear Physics,Paul Bracken,10.1080/14689360802609351
W2184041237,Tittel på avhandlingen Undertittel på avhandlingen,2012,0,article,Social Sciences,Political Science and International Relations,Øystein Tråsdahl,
W2184199794,Representations for Surfaces Immersed into Multi-Dimensional Euclidean Spaces,2003,0,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, W. J. Zakrzewski",
W2203214282,Sobre a geometria das estruturas de membrana,2015,0,conference-paper,Engineering,Civil and Structural Engineering,"Hugo Saraiva Tavares, Henrique F. da Silva",10.5540/03.2015.003.01.0175
W2203603201,“Sphere to Cylinder”: Pseudo-Cylindrical Projections,2014,0,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_13
W2215812709,“Sphere to Cylinder”: Oblique Aspect,2014,0,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_12
W2219401023,“Sphere to Cylinder”: Polar Aspect,2014,0,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_10
W2220494673,Ellipsoid-of-Revolution to Tangential Plane,2014,0,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_8
W2253715089,Boundary Value Problems,2015,0,book-chapter,Computer Science,Computational Theory and Mathematics,Thomas H. Otway,10.1007/978-3-319-19761-6_4
W2270659113,Modules for the investigation of the central fan question through numerical computation,2015,0,dissertation,Engineering,Aerospace Engineering,Francis Le Nguyen,
W2277541505,Vacuum Decay in a Flux Landscape,2016,0,dissertation,Physics and Astronomy,Nuclear and High Energy Physics,Alex Dahlen,
W2404622774,Characterization of spherical immersions of surfaces in ℝ4,2016,0,article,Computer Science,Computational Theory and Mathematics,"J. Monterde, R. C. Volpe",10.1007/s00574-016-0153-y
W2483565315,Weierstrass-Enneper representation for Maximal Surfaces in Hodographic coordinates,2016,0,preprint,Computer Science,Computer Graphics and Computer-Aided Design,Rahul Kumar Singh,10.48550/arxiv.1607.07562
W2493896240,Soap Films: The Amusement of Children and Mathematicians,1996,0,book-chapter,Health Professions,Health Information Management,"Stefan Hildebrandt, Anthony J. Tromba",10.1007/978-1-4612-2424-2_6
W2515409637,Global regularity for minimal sets near a union of two planes,2016,0,article,Computer Science,Computational Theory and Mathematics,Xiangyu Liang,10.5802/aif.3058
W2612604496,"A COMPREHENSIVE OVERVIEW OF MINIMAL-SURFACE THEORY, WITH A THOROUGH MATHEMATICAL TREATMENT OF BERNSTEIN'S THEOREM, THE WEIERSTRASS-ENNEPER REPRESENTATIONS, AND PROPERTIES OF THE GAUSS MAP",2014,0,dissertation,Computer Science,Computational Theory and Mathematics,Gregory Patrick Ozbolt,
W2765317212,On the uniqueness of vortex equations and its geometric applications,2017,0,preprint,Computer Science,Computational Theory and Mathematics,Qiongling Li,10.48550/arxiv.1710.10729
W2768817080,Modelagem Paramétrica da Geometria Complexa de Estruturas Regenerativas na Arquitetura,2017,0,conference-paper,Engineering,Architecture,"Janice de Freitas Pires, Alice Theresinha Cybis Pereira",10.5151/sigradi2017-011
W2796381189,Solutions to the prescribed mean curvature equation,2018,0,article,Computer Science,Computational Theory and Mathematics,"Pablo Amster, Pablo De Nápoli, M. C. Mariani",10.22199/s07160917.1999.0002.00003
W2902786241,"Uniqueness of minimal surfaces, Jacobi fields, and flat structures",2019,0,article,Computer Science,Computational Theory and Mathematics,Hojoo Lee,10.1090/proc/14941
W2918190978,Gauss Maps of Complete Minimal Surfaces,2018,0,conference-paper,Computer Science,Computer Graphics and Computer-Aided Design,Hirotaka Fujimoto,10.2969/aspm/02210013
W2949114596,Limit sets for complete minimal immersions,2006,0,preprint,Engineering,Computational Mechanics,"Antonio Alarcón, Nicolai Nadirashvili",10.48550/arxiv.math/0612149
W2949517724,Solutions of the generalized Weierstrass representation in four-dimensional Euclidean space,2003,0,preprint,Physics and Astronomy,Nuclear and High Energy Physics,"Paul Bracken, A. M. Grundland",10.48550/arxiv.nlin/0302007
W2951052327,On the growth of solutions to the minimal surface equation over domains containing a halfplane,2013,0,preprint,Computer Science,Computational Theory and Mathematics,"Erik Lundberg, Allen Weitsman",10.48550/arxiv.1311.3334
W2997533363,Anisotropic image evolution of Synge-Beil type,2019,0,article,Computer Science,Computer Vision and Pattern Recognition,"Vladimir Balan, Jelena Stojanov",10.2298/fil1904071b
W3004126860,The $$C_{m r}^{\kappa h}$$ minimal surfaces,2020,0,article,Engineering,Computational Mechanics,"Tânia Maria Machado de Carvalho, Fernanda Alves Caixeta",10.1007/s40863-020-00164-6
W3037048899,Hodographic vortices,2009,0,article,Physics and Astronomy,Statistical and Nonlinear Physics,Antonio Moro,10.1016/j.physleta.2009.06.001
W3098146151,Extending an example by Colding and Minicozzi,2020,0,article,Engineering,Computational Mechanics,"Lorenzo Ruffoni, Francesca Tripaldi",
W3128399164,On Minimal Surfaces Immersed in Three Dimensional Kropina Minkowski Space,2021,0,article,Physics and Astronomy,Astronomy and Astrophysics,"Ranadip Gangopadhyay, Ashok Kumar, Bankteshwar Tiwari",10.1007/s00025-021-01558-4
W3134640935,A Bernstein-Type Theorem for Minimal Graphs of Higher Codimension via Singular Values,2021,0,article,Computer Science,Computational Theory and Mathematics,"Lulu Jing, Ling Yang",10.1007/s10013-021-00473-z
W3146329701,Differential Geometry and its Applications,2010,0,article,Engineering,Computational Mechanics,"Gang Xu, Guozhao Wang",
W4205537050,Faculty Opinions recommendation of Heart wall myofibers are arranged in minimal surfaces to optimize organ function.,2012,0,peer-review,Medicine,Surgery,"Elisa Konofagou, Fabrice Marquet",10.3410/f.717953919.793459618
W4210886093,Variational Calculus,2003,0,reference-entry,Engineering,Computational Mechanics,John L. Troutman,10.1016/b0-12-227410-5/00077-6
W4210951305,C Geometric tools,2011,0,book-chapter,Computer Science,Computational Theory and Mathematics,,10.1201/b10802-13
W4210959506,Nonlinear Elliptic Equations,1996,0,book-chapter,Computer Science,Computational Theory and Mathematics,Michael E. Taylor,10.1007/978-1-4757-4190-2_2
W4213296106,As normais as superficies minimas em 'IR POT. 3',1975,0,dissertation,Social Sciences,Health,Célia Contin Góes,10.11606/d.45.1975.tde-20210728-231932
W4229538596,Reduction techniques,2003,0,book-chapter,Computer Science,Computational Theory and Mathematics,"Paul Baird, Jonathan Wood",10.1093/acprof:oso/9780198503620.003.0013
W4232543173,Characterization of spherical immersions of surfaces in R4,2016,0,article,Engineering,Computational Mechanics,"J. Monterde, R. C. Volpe",10.1007/s00574-016-0202-6
W4233857576,,1994,0,paratext,,,,10.1090/qam/1994-52-01
W4236522220,Bibliography,2004,0,paratext,,,,10.1016/s1874-7051(01)80014-1
W4239336856,Minimal Surface Equation,2015,0,reference-entry,Engineering,Computational Mechanics,"Einar M. Rønquist, Øystein Tråsdahl",10.1007/978-3-540-70529-1_377
W4240373209,Libro de resúmenes del ECI 2015 de invierno,2020,0,article,Environmental Science,Global and Planetary Change,,10.33017/recytperu2015.0002/
W4248074405,Bibliography,2016,0,paratext,,,,10.1016/b978-0-12-804489-6.50025-2
W4252795197,The Laplace Equation and Wave Equation,1996,0,book-chapter,Computer Science,Computational Theory and Mathematics,Michael E. Taylor,10.1007/978-1-4684-9320-7_2
W4254010729,References,2016,0,paratext,Physics and Astronomy,Statistical and Nonlinear Physics,,10.1016/b978-0-12-805462-8.00015-7
W4254351106,Bibliography,1994,0,paratext,,,,10.1016/b978-0-12-464990-3.50017-7
W4312609325,Hydrodynamics,2022,0,book-chapter,Engineering,Computational Mechanics,Andrei Ludu,10.1007/978-3-031-14641-1_10
W4386123107,Dirac equations,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0006
W4386123108,Schrödinger equation and quantum mechanics,2023,0,book-chapter,Physics and Astronomy,Statistical and Nonlinear Physics,Yisong Yang,10.1093/oso/9780192872616.003.0002
W4386123111,Notation and Convention,2023,0,other,Physics and Astronomy,Astronomy and Astrophysics,,10.1093/oso/9780192872616.002.0007
W4386123114,Strings and branes,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0013
W4386123116,Special relativity,2023,0,book-chapter,Physics and Astronomy,Astronomy and Astrophysics,Yisong Yang,10.1093/oso/9780192872616.003.0004
W4386123117,Canonical quantization of fields,2023,0,book-chapter,Physics and Astronomy,Statistical and Nonlinear Physics,Yisong Yang,10.1093/oso/9780192872616.003.0015
W4386123119,Magnetic vortices in Abelian Higgs theory,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0008
W4386139101,Copyright Page,2023,0,paratext,Arts and Humanities,History,,10.1093/oso/9780192872616.002.0003
W4386139109,Non-Abelian gauge field equations,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0009
W4386139138,Charged vortices and Chern–Simons equations,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0011
W4386139152,Preface,2023,0,paratext,Physics and Astronomy,Nuclear and High Energy Physics,,10.1093/oso/9780192872616.002.0006
W4386139205,"Maxwell equations, Dirac monopole, and gauge fields",2023,0,book-chapter,Physics and Astronomy,Statistical and Nonlinear Physics,Yisong Yang,10.1093/oso/9780192872616.003.0003
W4386139214,Abelian gauge field equations,2023,0,book-chapter,Physics and Astronomy,Astronomy and Astrophysics,Yisong Yang,10.1093/oso/9780192872616.003.0005
