citing_work_id,cited_work_id,citation_function,rationale,citer_title,citer_year,citer_field,citer_subfield,citer_type,citer_cited_by_count
W2051727173,W2139502098,,,Conformal structure of minimal surfaces with finite topology,2011,Mathematics,Applied Mathematics,article,20
W2146164720,W2139502098,,,Algebraic curves and non rigid minimal surfaces in the Euclidean space,1998,Mathematics,Applied Mathematics,article,20
W2168142391,W2139502098,,,Gauss map of minimal surfaces with ramification,1993,Mathematics,Geometry and Topology,article,20
W2171247766,W2139502098,,,Plateau’s problem in Finsler 3-space,2013,Physics and Astronomy,Astronomy and Astrophysics,article,20
W2202690299,W2139502098,,,QCD strings as a constrained Grassmannian σ model,1995,Physics and Astronomy,Nuclear and High Energy Physics,article,20
W2789770516,W2139502098,,,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,Materials Science,General Materials Science,article,20
W3101927055,W2139502098,,,The Hilbert-Smith conjecture for three-manifolds,2011,Mathematics,Geometry and Topology,preprint,20
W1570248553,W2139502098,,,The Spinor Representation of Surfaces in Space,1996,Mathematics,Geometry and Topology,preprint,19
W1969662834,W2139502098,,,The topological uniqueness of complete minimal surfaces of finite topological type,1992,Mathematics,Applied Mathematics,article,19
W2517149131,W2139502098,,,Topics in differential geometry associated with position vector fields on Euclidean submanifolds,2016,Mathematics,Applied Mathematics,article,19
W2963086402,W2139502098,,,A minimal lamination of the unit ball with singularities along a line segment,2009,Mathematics,Applied Mathematics,article,19
W2964197091,W2139502098,,,Two-point functions and their applications in geometry,2014,Mathematics,Applied Mathematics,article,19
W2964220927,W2139502098,,,Global geometry and topology of spacelike stationary surfaces in the 4-dimensional Lorentz space,2013,Mathematics,Applied Mathematics,article,19
W2964344420,W2139502098,,,Constant mean curvature surfaces in 3-dimensional Thurston geometries,2011,Mathematics,Applied Mathematics,conference-paper,19
W313209526,W2139502098,,,The Gauss Map and Second Fundamental Form of Surfaces in R 3,2000,Mathematics,Applied Mathematics,article,19
W1031044243,W2139502098,,,Quasilinear Elliptic Systems in Diagonal Form,1983,Mathematics,Applied Mathematics,book-chapter,18
W1666718704,W2139502098,,,"Falaco Solitons, Cosmic Strings in a Swimming Pool",2001,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",preprint,18
W1708839682,W2139502098,,,Hyperbolic complete minimal surfaces with arbitrary topology,1998,Mathematics,Applied Mathematics,article,18
W1982265407,W2139502098,,,Compactness of spaces of propely embedded minimal surfaces with finite total curvature,1995,Mathematics,Applied Mathematics,article,18
W203977387,W2139502098,,,Clifford–Fourier Transform and Spinor Representation of Images,2013,Mathematics,Applied Mathematics,book-chapter,18
W2170306735,W2139502098,,,On the maximal number of exceptional values of Gauss maps for various classes of surfaces,2012,Mathematics,Applied Mathematics,article,18
W3092990738,W2139502098,,,Minimal surfaces of finite total curvature in H×R,2006,Mathematics,Applied Mathematics,article,18
W3103451084,W2139502098,,,Doubly connected minimal surfaces and extremal harmonic mappings,2016,Mathematics,Geometry and Topology,article,18
W1985310087,W2139502098,,,On Two Methods for Approximating Minimal Surfaces in Parametric Form,1986,Engineering,Computational Mechanics,article,17
W2037993908,W2139502098,,,Construction of $n$-end catenoids with prescribed flux,1995,Engineering,Electrical and Electronic Engineering,article,17
W2071483293,W2139502098,,,Limits of minimal surfaces and Scherk's Fifth Surface,1990,Mathematics,Applied Mathematics,article,17
W2963173568,W2139502098,,,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,Earth and Planetary Sciences,Oceanography,article,17
W2963368884,W2139502098,,,Marginally Trapped Surfaces in L4 and an Extended Weierstrass–Bryant Representation,2005,Mathematics,Geometry and Topology,article,17
W560860201,W2139502098,,,Singularity Theory and Bifurcation Phenomena in Differential Equations,1997,Mathematics,Geometry and Topology,book-chapter,17
W826317983,W2139502098,,,Symmetric minimal surfaces in ℝ<sup>3</sup>,1995,Mathematics,Applied Mathematics,article,17
W1555355588,W2139502098,,,Chern-Osserman inequality for minimal surfaces in 𝐇ⁿ,1999,Mathematics,Geometry and Topology,article,16
W1982312319,W2139502098,,,δ(2)-ideal null 2-type hypersurfaces of Euclidean space are spherical cylinders,2012,Mathematics,Applied Mathematics,article,16
W1982467750,W2139502098,,,"A Schoen theorem for minimal surfaces in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overfl",2015,Mathematics,Applied Mathematics,article,16
W2028861756,W2139502098,,,"Björling problem for spacelike, zero mean curvature surfaces in",2005,Mathematics,Applied Mathematics,article,16
W2037524715,W2139502098,,,On the behavior of a non-parametric minimal surface in a non-convex quadrilateral,1986,Mathematics,Applied Mathematics,article,16
W2052607455,W2139502098,,,Minimal quasi-Bézier surface,2012,Engineering,Computational Mechanics,article,16
W2055703563,W2139502098,,,Complete flat surfaces with two isolated singularities in hyperbolic 3-space,2009,Mathematics,Geometry and Topology,article,16
W2069786434,W2139502098,,,Complex Trkalian fields and solutions to Euler’s equations for the ideal fluid,1995,Physics and Astronomy,Statistical and Nonlinear Physics,article,16
W2085608050,W2139502098,,,A Family of Singly Periodic Minimal Surfaces Invariant under a Screw Motion,1993,Computer Science,Computational Theory and Mathematics,article,16
W2093582748,W2139502098,,,Bumpy metrics and closed parametrized minimal surfaces in Riemannian manifolds,2006,Mathematics,Applied Mathematics,article,16
W2099798092,W2139502098,,,Examples of constant mean curvature surfaces obtained from harmonic maps to the two sphere,1997,Mathematics,Applied Mathematics,article,16
W2104050523,W2139502098,,,"SOME BASIC FACTS, OLD AND NEW, ABOUT TRIPLY PERIODIC EMBEDDED MINIMAL SURFACES",1990,Mathematics,Applied Mathematics,article,16
W2283343508,W2139502098,,,Simply Connected Minimal Surfaces with Finite Total Curvature in ℍ2 × ℝ,2013,Mathematics,Applied Mathematics,article,16
W2414125767,W2139502098,,,Computational Methods for Riemann Surfaces and Helicoids with Handles,2005,Engineering,Computational Mechanics,dissertation,16
W2576848535,W2139502098,,,Interpolation by conformal minimal surfaces and directed holomorphic curves,2018,Mathematics,Applied Mathematics,article,16
W2964121802,W2139502098,,,On the index of constant mean curvature 1 surfaces in hyperbolic space,1998,Mathematics,Applied Mathematics,article,16
W1981691044,W2139502098,,,Deformations of the gyroid and lidinoid minimal surfaces,2008,Mathematics,Applied Mathematics,article,15
W2013734618,W2139502098,,,Minimal surfaces in R3 and algebraic curves,1992,Mathematics,Geometry and Topology,article,15
W2064798497,W2139502098,,,The isoperimetric inequality for doubly-connected minimal surfaces inR n,1977,Mathematics,Applied Mathematics,article,15
W2065792993,W2139502098,,,Existence result for minimal hypersurfaces¶with a prescribed finite number of planar ends,2000,Mathematics,Applied Mathematics,article,15
W2168702061,W2139502098,,,ATTACHING HANDLES TO CONSTANT-MEAN-CURVATURE-1 SURFACES IN HYPERBOLIC 3-SPACE,2004,Mathematics,Applied Mathematics,article,15
W2516970170,W2139502098,,,Minimal surfaces of finite type,1995,Engineering,Computational Mechanics,article,15
W2963128558,W2139502098,,,The number of constant mean curvature isometric immersions of a surface,2013,Mathematics,Applied Mathematics,article,15
W3101565455,W2139502098,,,Pinning of diffusional patterns by non-uniform curvature,2020,Physics and Astronomy,Condensed Matter Physics,preprint,15
W4243953089,W2139502098,,,On two methods for approximating minimal surfaces in parametric form,1986,Engineering,Computational Mechanics,article,15
W4304689837,W2139502098,,,Mechanical properties of mortar beams reinforced by gyroid 3D printed plastic spatial elements,2022,Engineering,Building and Construction,article,15
W1552358399,W2139502098,,,Parametric Polynomial Minimal Surfaces of Degree Six with Isothermal Parameter,2008,Engineering,Computational Mechanics,conference-paper,14
W1568971874,W2139502098,,,On the total curvature and area growth of minimal surfaces in R n,1997,Mathematics,Applied Mathematics,article,14
W1575192410,W2139502098,,,Complete nonorientable minimal surfaces in a ball of $\mathbb {R}^3$,2006,Mathematics,Geometry and Topology,article,14
W1673945701,W2139502098,,,Entire Solutions of the Allen-Cahn equation and Complete Embedded Minimal Surfaces of Finite Total Curvature in $\R^3$,2009,Mathematics,Applied Mathematics,article,14
W1998412851,W2139502098,,,Conformal fields and stability,1984,Mathematics,Applied Mathematics,article,14
W2002171269,W2139502098,,,Classification of complete minimal surfaces inR 3 with total curvature 12?,1991,Mathematics,Applied Mathematics,article,14
W2022650001,W2139502098,,,On the totally ramified value number of the Gauss map of minimal surfaces,2006,Mathematics,Geometry and Topology,article,14
W2076880061,W2139502098,,,Higher-Genus Chen–Gackstatter Surfaces and The Weierstrass Representation for Surfaces of Infinite Genus,1995,Mathematics,Applied Mathematics,article,14
W2088886350,W2139502098,,,"Embedded, Doubly Periodic Minimal Surfaces",2000,Mathematics,Applied Mathematics,article,14
W2090299885,W2139502098,,,A note on discrete solutions of the Plateau problem,1990,Mathematics,Mathematical Physics,article,14
W2091005333,W2139502098,,,Compactness and gradient bounds for solutions of the mean curvature system in two independent variables,1994,Mathematics,Applied Mathematics,article,14
W2095538390,W2139502098,,,Principal lines on surfaces immersed with constant mean curvature,1986,Mathematics,Applied Mathematics,article,14
W2107417219,W2139502098,,,Topological constraints and their breakdown in dynamical evolution,2012,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",article,14
W2119873018,W2139502098,,,On the Poisson Integral of Step Functions and Minimal Surfaces,2002,Mathematics,Geometry and Topology,article,14
W2168702394,W2139502098,,,Timelike surfaces in the Lorentz–Minkowski space with prescribed Gaussian curvature and Gauss map,2005,Mathematics,Applied Mathematics,article,14
W2295093743,W2139502098,,,Capillary bridge: Transition from equilibrium to hydrodynamic state,2016,Engineering,Computational Mechanics,article,14
W2518120395,W2139502098,,,On solutions of the exterior Dirichlet problem for the minimal surface equation,1993,Computer Science,Computational Theory and Mathematics,article,14
W2795409613,W2139502098,,,Isogeometric analysis of minimal surfaces on the basis of extended Catmull–Clark subdivision,2018,Engineering,Computational Mechanics,article,14
W80421892,W2139502098,,,Radial Graphs of Constant Mean Curvature and Doubly Connected Minimal Surfaces with Prescribed Boundary,2003,Mathematics,Numerical Analysis,article,14
W142633509,W2139502098,,,On the Area Growth of Minimal Surface in Hn,1999,Mathematics,Applied Mathematics,article,13
W1513096208,W2139502098,,,Restrictions on the curvatures of $\Phi $-bounded surfaces,1976,Mathematics,Applied Mathematics,article,13
W1631672151,W2139502098,,,Solving period problems for minimal surfaces with the support function,2008,Computer Science,Computational Theory and Mathematics,preprint,13
W177019926,W2139502098,,,Extremal Surfaces of Mixed Type in Minkowski Space R n+1,1990,Mathematics,Applied Mathematics,book-chapter,13
W1965592408,W2139502098,,,THE EXTERIOR DIAMETER OF AN IMMERSED RIEMANNIAN MANIFOLD,1973,Mathematics,Applied Mathematics,article,13
W1968507320,W2139502098,,,Curvature estimates for minimal submanifolds of higher codimension,2009,Mathematics,Applied Mathematics,article,13
W1973849550,W2139502098,,,Shape optimization for 2D diffusive scalar transport,2008,Computer Science,Computational Theory and Mathematics,article,13
W1994968038,W2139502098,,,The embedded singly periodic Scherk-Costa surfaces,2006,Mathematics,Applied Mathematics,article,13
W1999494716,W2139502098,,,Minimal Surfaces of Higher Genus with Finite Total Curvature,1997,Mathematics,Applied Mathematics,article,13
W2010826851,W2139502098,,,Complete minimal surfaces in 𝑅³ of genus one and four planar embedded ends,1993,Mathematics,Applied Mathematics,article,13
W2050252005,W2139502098,,,Construction of higher genus minimal surfaces with one end and finite total curvature,1996,Mathematics,Applied Mathematics,article,13
W2058972126,W2139502098,,,Spectral estimates for Schr�dinger and Dirac-type operators on Riemannian manifolds,1994,Mathematics,Mathematical Physics,article,13
W2087724103,W2139502098,,,A Coons Patch Spanning a Finite Number of Curves Tested for Variationally Minimizing Its Area,2013,Engineering,Computational Mechanics,article,13
W2135884627,W2139502098,,,An embedded genus-one helicoid,2005,Engineering,Computational Mechanics,article,13
W260863392,W2139502098,,,Decay rates for the quadratic and super-quadratic tilt-excess of integral varifolds,2017,Mathematics,Applied Mathematics,article,13
W2744787348,W2139502098,,,The infinitesimal variation of the spin abelian differentials and periodic minimal surfaces,1998,Computer Science,Computational Theory and Mathematics,article,13
W3134536573,W2139502098,,,Schwarz–Pick lemma for harmonic maps whichare conformal at a point,2024,Mathematics,Geometry and Topology,article,13
W1577204586,W2139502098,,,A Bernstein type theorem for minimal volume preserving maps,2001,Mathematics,Applied Mathematics,article,12
W1592821550,W2139502098,,,On uniqueness of Riemann’s examples,1998,Mathematics,Applied Mathematics,article,12
W1965720776,W2139502098,,,A Bernstein Type Theorem for Entire Willmore Graphs,2011,Mathematics,Applied Mathematics,article,12
W1966729445,W2139502098,,,Deformations of complete minimal surfaces,1986,Mathematics,Applied Mathematics,article,12
W1978319452,W2139502098,,,Applications of compactness results for harmonic maps to stable constant mean curvature surfaces,1997,Mathematics,Applied Mathematics,article,12
W2001527308,W2139502098,,,Shapes of wetted solids and sinters,1991,Engineering,Computational Mechanics,article,12
W2040709692,W2139502098,,,Heisenberg spins on a bilayer connected by a neck and other geometries with a characteristic length scale,2010,Physics and Astronomy,Condensed Matter Physics,article,12
W2054888923,W2139502098,,,Spherical symmetric solutions for the motion of relativistic membranes in the Schwarzschild spacetime,2009,Mathematics,Mathematical Physics,article,12
W2058865775,W2139502098,,,"Some results on finiteness in Plateau's problem, part II",1982,Mathematics,Mathematical Physics,article,12
W2076123935,W2139502098,,,Stable H-Minimal Hypersurfaces,2013,Mathematics,Applied Mathematics,article,12
W2082067940,W2139502098,,,Periodic minimal surfaces,1978,Mathematics,Applied Mathematics,article,12
W2251301241,W2139502098,,,Minimal surfaces of finite index in manifolds of positive scalar curvature,1988,Mathematics,Applied Mathematics,book-chapter,12
W2570279590,W2139502098,,,Dynamics of Symplectic Subvolumes,2009,Physics and Astronomy,Statistical and Nonlinear Physics,article,12
W2952884908,W2139502098,,,Denjoy–Ahlfors theorem for harmonic functions on Riemannian manifolds and external structure of minimal surfaces,1996,Mathematics,Applied Mathematics,article,12
W3122664835,W2139502098,,,Quasiclassical generalized Weierstrass representation and Dispersionless Ds Equation,2007,Physics and Astronomy,Statistical and Nonlinear Physics,preprint,12
W4249420768,W2139502098,,,The Asymptotic Behavior of Properly Embedded Minimal Surfaces of Finite Topology,1989,Computer Science,Computational Theory and Mathematics,article,12
W138944448,W2139502098,,,Nevanlinna Theory and Minimal Surfaces,1997,Mathematics,Applied Mathematics,book-chapter,11
W1515745579,W2139502098,,,Noncritical holomorphic functions on Stein spaces,2016,Mathematics,Geometry and Topology,article,11
W1598887706,W2139502098,,,The Laplace equation of capillarity,1998,Materials Science,"Surfaces, Coatings and Films",book-chapter,11
W168724759,W2139502098,,,The Topological Background of Schwarzite Physics,2010,Materials Science,Materials Chemistry,book-chapter,11
W1878168342,W2139502098,,,Multi-valued graphs in embedded constant mean curvature disks,2006,Mathematics,Applied Mathematics,article,11
W1918321722,W2139502098,,,Local and global aspects of Weil–Petersson geometry,2014,Mathematics,Geometry and Topology,book-chapter,11
W1969708480,W2139502098,,,"A Schwarz-type formula for minimal surfaces in Euclidean space <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"">",2002,Mathematics,Applied Mathematics,article,11
W1996268373,W2139502098,,,Properly embedded minimal planar domains with infinite topology are Riemann minimal examples,2008,Mathematics,Applied Mathematics,article,11
W2077549525,W2139502098,,,On values of Gauss maps of complete minimal surfaces on annular ends,1991,Mathematics,Mathematical Physics,article,11
W2079505883,W2139502098,,,Some global properties of complete minimal surfaces of finite topology in R3,1991,Mathematics,Applied Mathematics,article,11
W2092645959,W2139502098,,,Scherk-Type Capillary Graphs,2005,Engineering,Aerospace Engineering,article,11
W2154564462,W2139502098,,,Value distribution of the Gauss map of improper affine spheres,2012,Mathematics,Applied Mathematics,article,11
W2170766060,W2139502098,,,Limit sets for complete minimal immersions,2007,Mathematics,Applied Mathematics,article,11
W2253754669,W2139502098,,,The parametric $h$-principle for minimal surfaces in $\mathbb{R}^n$ and null curves in $\mathbb{C}^n$,2019,Mathematics,Applied Mathematics,article,11
W2335550089,W2139502098,,,Concentration of CMC Surfaces in a 3-manifold,2012,Computer Science,Computational Theory and Mathematics,article,11
W2521291736,W2139502098,,,Minimal surfaces in pseudohermitian geometry and the Bernstein problem in the Heisenberg group,2004,Mathematics,Applied Mathematics,preprint,11
W2607349897,W2139502098,,,Isogeometric finite element approximation of minimal surfaces based on extended loop subdivision,2017,Engineering,Computational Mechanics,article,11
W2735415550,W2139502098,,,Minimal surfaces in a wedge of a slab,2001,Engineering,Biomedical Engineering,article,11
W2907748705,W2139502098,,,Minimal graphs in $\mathbb {R}^{4}$ with bounded Jacobians,2009,Mathematics,Geometry and Topology,article,11
W2914057012,W2139502098,,,Stabilit�t Mehrfach Zusammenh�ngender Minimalfl�chen,1979,Mathematics,Applied Mathematics,article,11
W2962745594,W2139502098,,,"Mean curvature one surfaces in hyperbolic space, and their relationship to minimal surfaces in Euclidean space",2001,Mathematics,Applied Mathematics,article,11
W2963292812,W2139502098,,,Complete minimal surfaces densely lying inarbitrary domains of ℝn,2017,Mathematics,Applied Mathematics,article,11
W2964344762,W2139502098,,,The Weierstrass—Enneper representation using hodographic coordinates on a minimal surface,2003,Physics and Astronomy,Statistical and Nonlinear Physics,article,11
W142610500,W2139502098,,,The Minimal Surface Equation,1984,Computer Science,Computational Theory and Mathematics,book-chapter,10
W1544448472,W2139502098,,,Minimal surfaces and mean curvature flow,2011,Mathematics,Applied Mathematics,preprint,10
W1924823212,W2139502098,,,Rigidity of stable minimal hypersurfaces in asymptotically flat spaces,2016,Mathematics,Applied Mathematics,article,10
W1973585606,W2139502098,,,Maximum principle at infinity for complete minimal surfaces in flat 3-manifolds,1995,Mathematics,Applied Mathematics,article,10
W1976354416,W2139502098,,,Stable embedded minimal surfaces bounded by a straight line,2007,Mathematics,Applied Mathematics,article,10
W1977054030,W2139502098,,,Minimal surfaces in tori by Weyl groups,1976,Mathematics,Applied Mathematics,article,10
W2015519229,W2139502098,,,Spacelike mean curvature one surfaces in de Sitter 3-space,2007,Mathematics,Applied Mathematics,preprint,10
W2033951114,W2139502098,,,On interior branch points of minimal surfaces,1980,Mathematics,Applied Mathematics,article,10
W2052937418,W2139502098,,,Some existence and nonexistence theorems for compact graphs of constant mean curvature with boundary in parallel planes,2001,Mathematics,Applied Mathematics,article,10
W2090166146,W2139502098,,,Instantons and minimal surfaces,1978,Physics and Astronomy,Nuclear and High Energy Physics,article,10
W2114630524,W2139502098,,,Solutions of the Generalized Weierstrass Representation in Four-Dimensional Euclidean Space,2002,Physics and Astronomy,Nuclear and High Energy Physics,article,10
W2913636294,W2139502098,,,�ber Stabilit�t und Isoliertheit der L�sungen des Klassischen Plateauproblems,1978,Mathematics,Geometry and Topology,article,10
W2963428057,W2139502098,,,Invariant recurrence relations for CP^(N-1) models,2009,Physics and Astronomy,Statistical and Nonlinear Physics,preprint,10
W3099566776,W2139502098,,,DENSITY AND SPECTRUM OF MINIMAL SUBMANIFOLDS IN SPACE FORMS,2016,Mathematics,Applied Mathematics,preprint,10
W3106134033,W2139502098,,,Complex Geometry and Dynamics,2015,Mathematics,Applied Mathematics,book,10
W3121522382,W2139502098,,,Geometric Analysis of Quasilinear Inequalities on Complete Manifolds,2021,Mathematics,Applied Mathematics,book,10
W4233178443,W2139502098,,,Discrete Solution of the Plateau Problem and its Convergence,1987,Mathematics,Applied Mathematics,article,10
W4247662676,W2139502098,,,Deformations of Complete Minimal Surfaces,1986,Mathematics,Applied Mathematics,article,10
W1490275917,W2139502098,,,Spacelike constant mean curvature 1 trinoids in de Sitter three-space,2006,Mathematics,Applied Mathematics,article,9
W1984975845,W2139502098,,,The wetted solid—A generalization of the Plateau problem and its implications for sintered materials,1990,Engineering,Biomedical Engineering,article,9
W1992314389,W2139502098,,,Properties of properly embedded minimal surfaces of finite topology,1987,Engineering,Computational Mechanics,article,9
W1995587256,W2139502098,,,On the growth of minimal graphs,2005,Mathematics,Geometry and Topology,article,9
W2006894956,W2139502098,,,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,Chemistry,Organic Chemistry,article,9
W2009415472,W2139502098,,,An approximation method based on MRA for the quasi-Plateau problem,2013,Engineering,Computational Mechanics,article,9
W2024574109,W2139502098,,,Crystallographic aspects of the Bonnet transformation for periodic minimal surfaces (and crystals of films),1993,Materials Science,Materials Chemistry,article,9
W2030054750,W2139502098,,,The geometry of genus-one helicoids,2009,Mathematics,Applied Mathematics,article,9
W2030746578,W2139502098,,,The behavior of a minimal surface in a comer,1977,Mathematics,Geometry and Topology,article,9
W2047952726,W2139502098,,,Near-stability of a quasi-minimal surface indicated through a tested curvature algorithm,2015,Engineering,Computational Mechanics,article,9
W2058364295,W2139502098,,,Phragmén-Lindelöf theorem for the minimal surface equation,1988,Computer Science,Computational Theory and Mathematics,article,9
W2064829573,W2139502098,,,Riemann bilinear relations on minimal surfaces,1998,Mathematics,Applied Mathematics,article,9
W2064891064,W2139502098,,,Optimum isothermal surfaces that maximize heat transfer,2013,Engineering,Mechanical Engineering,article,9
W2085512993,W2139502098,,,Die Jacobifelder zu Minimalfl�chen im ?3,1975,Mathematics,Geometry and Topology,article,9
W2122329296,W2139502098,,,Properness of associated minimal surfaces,2014,Mathematics,Applied Mathematics,article,9
W2152323755,W2139502098,,,Infinite Periodic Discrete Minimal Surfaces Without Self-Intersections,2004,Engineering,Computational Mechanics,preprint,9
W2341466667,W2139502098,,,Every Meromorphic Function is the Gauss Map of a Conformal Minimal Surface,2017,Mathematics,Applied Mathematics,article,9
W2529884580,W2139502098,,,Boundedness of the total energy of relativistic membranes evolving in a curved spacetime,2018,Physics and Astronomy,Astronomy and Astrophysics,article,9
W2671546768,W2139502098,,,Stable quotients of periodic minimal surfaces,1994,Mathematics,Mathematical Physics,article,9
W2911450117,W2139502098,,,Flat Surfaces in $$\mathbb{L}$$4,2001,Mathematics,Applied Mathematics,article,9
W2948432184,W2139502098,,,Carleman approximation by conformal minimal immersions and directed holomorphic curves,2019,Mathematics,Geometry and Topology,article,9
W3015914605,W2139502098,,,The Calabi–Yau Property of Superminimal Surfaces in Self-Dual Einstein Four-Manifolds,2020,Mathematics,Geometry and Topology,article,9
W3099522887,W2139502098,,,On the Jacobian of minimal graphs in R^4,2009,Mathematics,Applied Mathematics,preprint,9
W3102606261,W2139502098,,,Finiteness of the number of ends of minimal submanifolds in Euclidean space,2012,Mathematics,Applied Mathematics,preprint,9
W3201502065,W2139502098,,,Hyperbolic domains in real Euclidean spaces,2023,Mathematics,Applied Mathematics,article,9
W107116545,W2139502098,,,Affine maximal surfaces and harmonic functions,1989,Engineering,Computational Mechanics,book-chapter,8
W1847534326,W2139502098,,,"Instability Patterns, Wakes and Topological Limit Sets",1993,Engineering,Computational Mechanics,book-chapter,8
W1953188710,W2139502098,,,Curvature estimates for minimal submanifolds of higher codimension and small G-rank,2015,Mathematics,Applied Mathematics,article,8
W1977295241,W2139502098,,,An identity for T-ordered exponentials with applications to quantum mechanics,1976,Physics and Astronomy,Statistical and Nonlinear Physics,article,8
W1998615329,W2139502098,,,"On Minimal Surfaces in the Real Special Linear Group $SL(2,\mathbf{R})$",1997,Mathematics,Applied Mathematics,article,8
W2027064665,W2139502098,,,The doubly periodic Costa surfaces,2002,Mathematics,Applied Mathematics,article,8
W2027467037,W2139502098,,,Bifurkation von Minimalfl�chen und elementare Katastrophen,1986,Earth and Planetary Sciences,Earth-Surface Processes,article,8
W2037672300,W2139502098,,,WETTING PHENOMENA AND CONSTANT MEAN CURVATURE SURFACES WITH BOUNDARY,2005,Computer Science,Computational Theory and Mathematics,article,8
W2045710430,W2139502098,,,Mapping surfaces harmonically into 𝐸ⁿ,1980,Mathematics,Applied Mathematics,article,8
W2070904441,W2139502098,,,A martingale approach to minimal surfaces,2008,Mathematics,Applied Mathematics,article,8
W2088542989,W2139502098,,,On properly embedded minimal surfaces with three ends,2001,Mathematics,Applied Mathematics,article,8
W2094222565,W2139502098,,,Duality for a class of minimal surfaces in ${\bf R}^{n+1}$,1999,Mathematics,Applied Mathematics,article,8
W2116954064,W2139502098,,,A ramification theorem for the ratio of canonical forms of flat surfaces in hyperbolic three-space,2013,Mathematics,Mathematical Physics,article,8
W2163551316,W2139502098,,,MINIMAL SUREACES WITH PLANAR BOUNDARY CURVES,1998,Computer Science,Computational Theory and Mathematics,article,8
W2338013497,W2139502098,,,The use of Delaunay curves for the wetting of axisymmetric bodies,1994,Engineering,Civil and Structural Engineering,article,8
W2617121873,W2139502098,,,A rigidity theorem for periodic minimal surfaces,1999,Mathematics,Geometry and Topology,article,8
W3038126347,W2139502098,,,Soliton spheres,2011,Physics and Astronomy,Statistical and Nonlinear Physics,article,8
W3193697283,W2139502098,,,Variationally Improved Bézier Surfaces with Shifted Knots,2021,Engineering,Computational Mechanics,article,8
W4240616095,W2139502098,,,Some New Examples of Nonorientable Minimal Surfaces,1986,Engineering,Computational Mechanics,article,8
W4243921171,W2139502098,,,"Some results on finiteness in Plateau's problem, part I",1980,Mathematics,Mathematical Physics,article,8
W1489991077,W2139502098,,,HOW MANY THEOREMS CAN BE DERIVED FROM A VECTOR FUNCTION ON UNIQUENESS THEOREMS FOR THE MINIMAL SURFACE EQUATION,2003,Mathematics,Applied Mathematics,article,7
W1562758923,W2139502098,,,On complete nonorientable minimal surfaces with low total curvature,1996,Mathematics,Applied Mathematics,article,7
W1579402250,W2139502098,,,Total curvature of branched minimal surfaces,1996,Mathematics,Applied Mathematics,article,7
W1617747502,W2139502098,,,Convex RP^2 Structures and Cubic Differentials under Neck Separation,2015,Mathematics,Geometry and Topology,preprint,7
W1896874454,W2139502098,,,Spectral transformation of constant mean curvature surfaces in H3 and Weierstrass representation,2002,Mathematics,Applied Mathematics,article,7
W1968693256,W2139502098,,,Compact and progressive plant models for streaming in networked virtual environments,2009,Computer Science,Computer Graphics and Computer-Aided Design,article,7
W1993881538,W2139502098,,,On the Gauss Map of Minimal Graphs,2003,Mathematics,Geometry and Topology,article,7
W2009242770,W2139502098,,,Differential geometric theory of capillarity,1996,Chemistry,Organic Chemistry,article,7
W2033012945,W2139502098,,,New rigid string instantons in R4,1996,Physics and Astronomy,Nuclear and High Energy Physics,article,7
W2038872184,W2139502098,,,Maximum Principles for vectorial approximate minimizers of nonconvex functionals,2012,Computer Science,Computational Theory and Mathematics,article,7
W2043590573,W2139502098,,,Growth property for the minimal surface equation in unbounded domains,1994,Mathematics,Geometry and Topology,article,7
W2045449292,W2139502098,,,ON ISOCONCENTRATION SURFACES OF THREE-DIMENSIONAL TURING PATTERNS,2008,Computer Science,Computer Networks and Communications,article,7
W2082487566,W2139502098,,,An Application of Gesztesy–Simon–Teschl Oscillation Theory to a Problem in Differential Geometry,2001,Mathematics,Mathematical Physics,article,7
W2089907778,W2139502098,,,Complex surfaces of constant mean curvature fibered by minimal surfaces,2010,Mathematics,Applied Mathematics,article,7
W2091879740,W2139502098,,,Remarks on a Bernstein Type Theorem for Entire Willmore Graphs in R 3,2012,Mathematics,Applied Mathematics,article,7
W2093986547,W2139502098,,,Exotic Minimal Surfaces,2012,Mathematics,Applied Mathematics,article,7
W2105233518,W2139502098,,,A nonorientable complete minimal surface in 𝑅³ between two parallel planes,1988,Mathematics,Applied Mathematics,article,7
W2112850604,W2139502098,,,Korteweg–de Vries surfaces,2013,Physics and Astronomy,Statistical and Nonlinear Physics,article,7
W2130660837,W2139502098,,,Flat Surfaces in L 4,2001,Mathematics,Applied Mathematics,article,7
W2152777245,W2139502098,,,On rotationally starlike logharmonic mappings,2015,Mathematics,Geometry and Topology,article,7
W2163257717,W2139502098,,,Some Picard theorems for minimal surfaces,2003,Mathematics,Applied Mathematics,article,7
W2321689555,W2139502098,,,Un théorème d'unicité de l'hélicoïde,1988,Mathematics,Applied Mathematics,article,7
W2330474081,W2139502098,,,Konstruktion vollständiger Minimalflächen von endlicher Gesamtkrümmung,1977,Engineering,Computational Mechanics,article,7
